"","trt","code","value","time","row","column","temperature","B12","bacteria","rep","combined.trt","dtime","type"
"105","B1","X22",82.9744,2024-02-29 11:03:00,"B",1,"22","1","1",1,"22 1 1 1",9.96388888888889,"1 1"
"106","B1","X22",112.282,2024-02-24 11:06:00,"B",1,"22","1","1",1,"22 1 1 1",4.96597222222222,"1 1"
"107","B1","X22",96.1892,2024-02-21 11:02:00,"B",1,"22","1","1",1,"22 1 1 1",1.96319444444444,"1 1"
"108","B1","X22",31.3958,2024-02-20 11:03:00,"B",1,"22","1","1",1,"22 1 1 1",0.963888888888889,"1 1"
"109","B1","X25",29.3568,2024-02-19 11:55:00,"B",1,"25","1","1",1,"25 1 1 1",0,"1 1"
"110","B1","X25",93.667,2024-02-27 11:38:00,"B",1,"25","1","1",1,"25 1 1 1",7.98819444444444,"1 1"
"111","B1","X25",82.0078,2024-02-28 10:59:00,"B",1,"25","1","1",1,"25 1 1 1",8.96111111111111,"1 1"
"112","B1","X25",144.232,2024-02-22 11:30:00,"B",1,"25","1","1",1,"25 1 1 1",2.98263888888889,"1 1"
"113","B1","X25",62.644,2024-03-01 11:59:00,"B",1,"25","1","1",1,"25 1 1 1",11.0027777777778,"1 1"
"114","B1","X25",190.408,2024-02-25 11:35:00,"B",1,"25","1","1",1,"25 1 1 1",5.98611111111111,"1 1"
"115","B1","X25",120.2382,2024-02-26 11:31:00,"B",1,"25","1","1",1,"25 1 1 1",6.98333333333333,"1 1"
"116","B1","X25",201.3736,2024-02-23 11:31:00,"B",1,"25","1","1",1,"25 1 1 1",3.98333333333333,"1 1"
"117","B1","X25",75.3202,2024-02-29 11:03:00,"B",1,"25","1","1",1,"25 1 1 1",9.96388888888889,"1 1"
"118","B1","X25",199.6576,2024-02-24 11:06:00,"B",1,"25","1","1",1,"25 1 1 1",4.96597222222222,"1 1"
"119","B1","X25",92.0552,2024-02-21 11:02:00,"B",1,"25","1","1",1,"25 1 1 1",1.96319444444444,"1 1"
"120","B1","X25",32.5116,2024-02-20 11:03:00,"B",1,"25","1","1",1,"25 1 1 1",0.963888888888889,"1 1"
"121","B1","X27",25.1974,2024-02-19 11:55:00,"B",1,"27","1","1",1,"27 1 1 1",0,"1 1"
"122","B1","X27",133.7606,2024-02-27 11:38:00,"B",1,"27","1","1",1,"27 1 1 1",7.98819444444444,"1 1"
"123","B1","X27",89.4886,2024-02-28 10:59:00,"B",1,"27","1","1",1,"27 1 1 1",8.96111111111111,"1 1"
"124","B1","X27",95.5706,2024-02-22 11:30:00,"B",1,"27","1","1",1,"27 1 1 1",2.98263888888889,"1 1"
"125","B1","X27",69.2416,2024-03-01 11:59:00,"B",1,"27","1","1",1,"27 1 1 1",11.0027777777778,"1 1"
"126","B1","X27",176.1954,2024-02-25 11:35:00,"B",1,"27","1","1",1,"27 1 1 1",5.98611111111111,"1 1"
"127","B1","X27",158.0202,2024-02-26 11:31:00,"B",1,"27","1","1",1,"27 1 1 1",6.98333333333333,"1 1"
"128","B1","X27",119.092,2024-02-23 11:31:00,"B",1,"27","1","1",1,"27 1 1 1",3.98333333333333,"1 1"
